AQW00061705         863C
USC00147796         673S
USC00147922         716S
USC00148038         698S
USC00148061         664Q
USC00148191         670R
USC00148235         672S
USC00148240         678R
USC00148250         635S
USC00148259         651C
USC00148287         689S
USC00148495         671C
USC00148535         693Q
USC00148563         660R
USC00148578         655S
USC00148648         682R
USC00148670         689S
USC00148914         702R
USC00148946         670S
USC00148964         677S
USC00148988         662R
USC00149080         661S
USC00150254         639S
USC00150381         679S
USC00150397         670R
USC00150402         694S
USC00150422         712S
USC00150450         671S
USC00150483         661Q
USC00150490         675R
USC00150619         680R
USC00150630         688S
USC00150858         676Q
USC00150860         672Q
USC00150940         677S
USC00150955         669R
USC00151080         677Q
USC00151227         673Q
USC00151318         676Q
USC00151345         670R
USC00151517         662Q
USC00151810         671Q
USC00151890         679R
USC00151895         666Q
USC00151900         657R
USC00151998         660R
USC00152040         653S
USC00152214         651R
USC00152409         652R
USC00152442         698Q
USC00152512         656R
USC00152575         688Q
USC00152775         652R
USC00152791         672S
USC00153028         663R
USC00153223         713R
USC00153230         645Q
USC00153246         709R
USC00153295         694R
USC00153382         649R
USC00153389         663R
USC00153391         667R
USC00153430         684S
USC00153604         681R
USC00153741         676R
USC00153744         665Q
USC00153762         669S
USC00153929         676S
USC00153994         691R
USC00154138         660Q
USC00154208         670R
USC00154375         687Q
USC00154703         668S
USC00154958         664Q
USC00154967         698R
USC00155067         699S
USC00155097         695R
USC00155111         681R
USC00155165         686Q
USC00155233         699R
USC00155243         659R
USC00155280         662Q
USC00155389         681R
USC00155524         672S
USC00155640         653R
USC00155648         658S
USC00155694         690R
USC00155834         700S
USC00156012         638Q
USC00156028         675Q
USC00156091         710R
USC00156117         705R
USC00156136         670S
USC00156224         665Q
USC00156580         701S
USC00156595         688R
USC00156882         686R
USC00156988         678S
USC00157049         682R
USC00157215         681S
USC00157324         666R
USC00157510         665S
USC00157592         665Q
USC00157652         656Q
USC00157677         672S
USC00157800         696S
USC00158432         646Q
USC00158446         657S
USC00158551         653S
USC00158553         652Q
USC00158555         678Q
USC00158709         660R
USC00158714         661R
USC00158824         674Q
USC00160098         773S
USC00160103         769R
USC00160205         784S
USC00160349         764S
USC00160537         751S
USC00160718         753Q
USC00160800         756S
USC00160945         779R
USC00161232         759S
USC00161246         780R
USC00161287         775S
USC00161292         770R
USC00161411         750S
USC00161565         779S
USC00161899         764S
USC00161941         775Q
USC00161979         759R
USC00162151         774R
USC00162212         775S
USC00162361         777R
USC00162367         777S
USC00162534         782C
USC00162800         781R
USC00162981         796R
USC00163079         752R
USC00163313         771S
USC00163327         789R
USC00163433         774S
USC00163800         784S
USC00163979         773R
USC00164030         783S
USC00164288         768Q
USC00164355         748S
USC00164407         788R
USC00164674         781C
USC00164696         762R
USC00164700         781C
USC00164739         768R
USC00165021         778R
USC00165065         785R
USC00165090         747C
USC00165146         761Q
USC00165266         773R
USC00165296         768R
USC00165527         759R
USC00165620         783S
USC00165624         777R
USC00165630         772C
USC00165874         762R
USC00165892         763S
USC00165926         780R
USC00166244         758S
USC00166314         764S
USC00166364         756Q
USC00166394         775S
USC00166434         780Q
USC00166582         776S
USC00166584         772Q
USC00166657         794R
USC00166686         786S
USC00166938         771R
USC00166978         767R
USC00167344         766R
USC00167691         756R
USC00167738         766S
USC00167767         781S
USC00167924         763Q
USC00167932         758S
USC00168046         763S
USC00168067         746S
USC00168108         777R
USC00168163         768S
USC00168181         771Q
USC00168444         762Q
USC00168448         759Q
USC00168539         774S
USC00168543         778R
USC00168923         755S
USC00168941         787R
USC00169013         786R
USC00169074         770Q
USC00169803         767R
USC00169804         770Q
USC00169806         763S
USC00170100         561S
USC00170200         499R
USC00170398         531R
USC00170480         537S
USC00170655         526Q
USC00170814         500S
USC00170833         515S
USC00170844         542S
USC00171472         491R
USC00171628         546S
USC00171833         525R
USC00171975         531S
USC00172048         541R
USC00172238         547S
USC00172426         527R
USC00172620         550R
USC00172623         545Q
USC00172700         493R
USC00172765         537C
USC00172878         487S
USC00173046         553S
USC00173261         542S
USC00173295         554R
USC00173353         497Q
USC00173417         535Q
USC00173570         519R
USC00173862         561R
USC00173944         524R
USC00174086         503C
USC00174183         532R
USC00174193         547R
USC00174566         543R
USC00174683         536Q
USC00174781         491S
USC00174927         537S
USC00175261         511S
USC00175304         522S
USC00175347         547Q
USC00175675         545S
USC00176430         557R
USC00176594         504R
USC00176721         498R
USC00176856         542Q
USC00176875         508Q
USC00176881         524R
USC00176937         515S
USC00177037         506C
USC00177039         493R
USC00177174         501R
USC00177238         532R
USC00177325         549S
USC00177479         590S
USC00177654         533R
USC00178353         532R
USC00178792         528Q
USC00178817         543Q
USC00178965         493S
USC00178974         539R
USC00179151         553S
USC00179294         530R
USC00179314         565S
USC00179547         539Q
USC00179593         540S
USC00179891         552S
USC00180193         679R
USC00180335         659R
USC00180700         658S
USC00180732         677R
USC00181385         687R
USC00181530         623S
USC00181750         644S
USC00181862         665R
USC00181995         672R
USC00182060         665R
USC00182282         666S
USC00182308         636Q
USC00182325         671S
USC00182335         639R
USC00182336         626R
USC00182906         629S
USC00183348         666R
USC00183353         648Q
USC00183415         574S
USC00183675         658R
USC00184030         649R
USC00185080         665R
USC00185111         663R
USC00185832         574R
USC00185865         659S
USC00185934         622R
USC00185985         668R
USC00186350         680S
USC00186620         585S
USC00186770         670R
USC00186800         668Q
USC00187330         694R
USC00187705         637R
USC00187806         670S
USC00188000         677S
USC00188065         598S
USC00188207         649R
USC00188371         635Q
USC00188380         688C
USC00188405         680Q
USC00188557         652Q
USC00189030         655R
USC00189070         663R
USC00189140         691S
USC00189440         655R
USC00189570         648Q
USC00189750         663R
USC00190120         589S
USC00190190         562Q
USC00190192         559Q
USC00190213         558Q
USC00190408         563R
USC00190535         592R
USC00190562         579Q
USC00190593         578R
USC00190666         574R
USC00190759         551R
USC00190840         602Q
USC00190860         597S
USC00190998         586R
USC00191386         559S
USC00191774         542R
USC00191821         575Q
USC00192107         582S
USC00192451         589S
USC00192501         598S
USC00193213         585R
USC00193229         584Q
USC00193276         592R
USC00193505         594S
USC00193624         600S
USC00193821         581R
USC00193890         604R
USC00193985         584R
USC00194075         555R
USC00194105         598S
USC00194131         577R
USC00194313         598R
USC00194502         582R
USC00194580         605S
USC00194711         609Q
USC00194744         613S
USC00195175         592Q
USC00195246         602R
USC00195984         605S
USC00196245         575R
USC00196486         611S
USC00196783         593S
USC00196938         604S
USC00197230         525Q
USC00197627         577R
USC00198367         607R
USC00198573         581R
USC00198757         603S
USC00199193         585Q
USC00199316         615R
USC00199371         547Q
USC00199972         556R
USC00200032         578S
USC00200089         502R
USC00200106         588Q
USC00200128         571R
USC00200146         566C
USC00200166         536R
USC00200197         513Q
USC00200220         582Q
USC00200228         587Q
USC00200230         588S
USC00200342         548Q
USC00200343         520R
USC00200361         566Q
USC00200417         551S
USC00200446         574R
USC00200718         510S
USC00200758         551Q
USC00200770         522R
USC00200779         556S
USC00200842         586Q
USC00200864         588S
USC00200925         569C
USC00201052         569Q
USC00201150         582Q
USC00201238         575Q
USC00201250         582Q
USC00201299         568R
USC00201343         558Q
USC00201361         561R
USC00201435         512Q
USC00201439         497R
USC00201468         529R
USC00201476         568S
USC00201486         523R
USC00201492         528R
USC00201502         577Q
USC00201675         568S
USC00201780         492R
USC00201802         533R
USC00201818         577Q
USC00201896         521S
USC00202015         601S
USC00202016         596Q
USC00202094         504S
USC00202250         574S
USC00202308         592Q
USC00202328         577Q
USC00202381         571C
USC00202395         578R
USC00202423         556S
USC00202427         593Q
USC00202445         604S
USC00202503         538Q
USC00202631         570S
USC00202691         575Q
USC00202737         508R
USC00202788         563Q
USC00202804         547R
USC00202851         568Q
USC00202955         564Q
USC00202984         533S
USC00203025         558Q
USC00203096         525S
USC00203099         514R
USC00203188         542Q
USC00203278         579Q
USC00203290         562R
USC00203295         553Q
USC00203391         536S
USC00203429         583C
USC00203477         572S
USC00203504         606R
USC00203529         551S
USC00203585         523S
USC00203628         519R
USC00203632         551R
USC00203661         574S
USC00203712         577Q
USC00203744         495S
USC00203769         570R
USC00203823         576R
USC00203858         593S
USC00203913         578Q
USC00203930         550R
USC00203932         555R
USC00203947         580Q
USC00204078         565S
USC00204090         536S
USC00204104         498S
USC00204130         520Q
USC00204257         529R
USC00204258         535Q
USC00204399         564Q
USC00204502         541C
USC00204655         564S
USC00204659         574Q
USC00204793         567Q
USC00204808         549Q
USC00204954         553S
USC00204967         556R
USC00205050         587Q
USC00205065         562S
USC00205073         499S
USC00205097         560R
USC00205168         558Q
USC00205434         566S
USC00205450         595R
USC00205451         590Q
USC00205452         569S
USC00205531         559R
USC00205533         553Q
USC00205558         582R
USC00205563         593Q
USC00205567         562S
USC00205591         517Q
USC00205603         597Q
USC00205662         562R
USC00205690         499S
USC00205810         510Q
USC00205816         503R
USC00205822         586Q
USC00206007         525Q
USC00206012         539R
USC00206158         550R
USC00206184         559S
USC00206220         537S
USC00206300         572S
USC00206442         530Q
USC00206507         517S
USC00206510         527Q
USC00206583         536Q
USC00206587         564Q
USC00206658         570R
USC00206662         547Q
USC00206663         531R
USC00206680         562S
USC00206982         562Q
USC00207094         540S
USC00207190         531S
USC00207222         572Q
USC00207225         567Q
USC00207253         575R
USC00207274         516S
USC00207277         520R
USC00207280         576S
USC00207308         591Q
USC00207312         587Q
USC00207320         593Q
USC00207350         555R
USC00207364         511R
USC00207515         543R
USC00207684         549Q
USC00207690         577S
USC00207812         506S
USC00207820         560S
USC00207867         553R
USC00208043         503R
USC00208080         595Q
USC00208184         594S
USC00208202         586Q
USC00208249         546Q
USC00208293         516R
USC00208345         494Q
USC00208417         541S
USC00208443         568Q
USC00208680         513R
USC00208706         489Q
USC00208774         566Q
USC00208800         549S
USC00208920         495S
USC00208941         566R
USC00208972         570Q
USC00209188         562Q
USC00210018         518S
USC00210050         515R
USC00210059         517R
USC00210075         547S
USC00210157         575R
USC00210190         548Q
USC00210252         509C
USC00210287         527S
USC00210355         539S
USC00210387         480R
USC00210515         513R
USC00210564         489Q
USC00210643         490R
USC00210667         545S
USC00210746         531R
USC00210809         502R
USC00210939         524S
USC00210973         535Q
USC00210989         490R
USC00211063         550S
USC00211065         543Q
USC00211074         510R
USC00211107         535R
USC00211174         552R
USC00211198         543S
USC00211227         536R
USC00211245         528R
USC00211250         494Q
USC00211263         552S
USC00211374         504S
USC00211390         543R
USC00211448         543R
USC00211465         575R
USC00211468         550Q
USC00211630         517S
USC00211691         547S
USC00211771         489Q
USC00211776         513R
USC00211840         491R
USC00211891         506S
USC00212015         531Q
USC00212023         544Q
USC00212050         522R
USC00212088         542R
USC00212142         530R
USC00212246         484R
USC00212500         548Q
USC00212543         504R
USC00212555         488Q
USC00212576         475R
USC00212645         486R
USC00212698         557S
USC00212721         550S
USC00212737         551S
USC00212768         520R
USC00212842         499R
USC00212881         561S
USC00212916         502S
USC00213076         539S
USC00213104         528S
USC00213174         556S
USC00213282         487S
USC00213290         531S
USC00213296         485R
USC00213303         518C
USC00213311         557Q
USC00213411         509S
USC00213417         473R
USC00213455         479R
USC00213567         545R
USC00213793         525R
USC00213962         548S
USC00214103         505S
USC00214106         499S
USC00214176         541S
USC00214191         492Q
USC00214306         487R
USC00214373         533Q
USC00214453         544R
USC00214534         548S
USC00214546         555S
USC00214652         512S
USC00214778         530S
USC00214793         553S
USC00214809         492R
USC00214861         513S
USC00214884         567R
USC00214918         461R
USC00214937         573R
USC00214994         553S
USC00215012         523R
USC00215073         559R
USC00215175         484R
USC00215204         558S
USC00215325         528R
USC00215392         527S
USC00215400         568S
USC00215563         545S
USC00215586         526R
USC00215598         518S
USC00215615         529R
USC00215638         528S
USC00215838         550R
USC00215842         547S
USC00215887         555S
USC00215902         519Q
USC00215989         497Q
USC00216148         501R
USC00216152         546S
USC00216211         488Q
USC00216228         533Q
USC00216276         520R
USC00216287         546S
USC00216547         516S
USC00216565         550S
USC00216612         507Q
USC00216654         559S
USC00216787         500S
USC00216795         509R
USC00216822         552R
USC00216839         557Q
USC00216920         535Q
USC00217087         482R
USC00217107         543S
USC00217149         518R
USC00217184         566R
USC00217326         549S
USC00217377         551R
USC00217379         547Q
USC00217405         561S
USC00217460         516Q
USC00217502         554S
USC00217907         553S
USC00217935         543Q
USC00218025         554R
USC00218037         581R
USC00218039         543Q
USC00218191         501R
USC00218227         561R
USC00218247         503R
USC00218254         512R
USC00218307         499Q
USC00218311         498S
USC00218323         546S
USC00218419         500S
USC00218421         501R
USC00218429         552R
USC00218450         561R
USC00218477         567R
USC00218579         507S
USC00218618         501S
USC00218621         511Q
USC00218679         486S
USC00218692         549S
USC00218700         502R
USC00218808         557R
USC00218907         530S
USC00218947         535Q
USC00218986         542R
USC00219004         541S
USC00219033         577S
USC00219046         559S
USC00219067         579S
USC00219072         553R
USC00219101         497R
USC00219134         486R
USC00219170         547S
USC00219173         512S
USC00219249         547S
USC00220021         736S
USC00220488         725S
USC00220521         755S
USC00220585         789R
USC00220660         739S
USC00220792         764R
USC00220955         709R
USC00221094         763S
USC00221111         743Q
USC00221314         731S
USC00221389         757R
USC00221489         757S
USC00221606         730R
USC00221707         722S
USC00221738         736R
USC00221743         733R
USC00221852         755S
USC00221865         776R
USC00221880         755R
USC00221962         714S
USC00222094         769R
USC00222282         743Q
USC00222385         758S
USC00222896         735S
USC00223107         757S
USC00223208         721S
USC00223605         738R
USC00223645         728S
USC00223671         763R
USC00223887         764S
USC00223920         772S
USC00223975         754R
USC00224001         722S
USC00224173         723S
USC00224265         723R
USC00224377         711R
USC00224455         707S
USC00224702         749R
USC00224776         729R
USC00224869         739Q
USC00224939         764S
USC00225062         737R
USC00225070         774R
USC00225247         733R
USC00225361         749R
USC00225704         771R
USC00225789         785R
USC00225897         741R
USC00225987         785R
USC00226009         734S
USC00226177         765S
USC00226308         756S
USC00226476         775R
USC00226527         722R
USC00226638         763Q
USC00226718         759R
USC00226811         774R
USC00226894         765S
USC00226921         780R
USC00226926         741R
USC00227111         713S
USC00227128         766S
USC00227132         756S
USC00227252         756R
USC00227276         749Q
USC00227444         759R
USC00227467         706R
USC00227560         755C
USC00227815         745Q
USC00227831         757Q
USC00227840         798S
USC00227921         722Q
USC00228374         742S
USC00228445         739S
USC00228998         721S
USC00229004         726Q
USC00229048         778R
USC00229079         732S
USC00229173         733R
USC00229216         760R
USC00229230         753Q
USC00229400         733S
USC00229426         759S
USC00229439         759R
USC00229639         781R
USC00229743         726S
USC00229793         780R
USC00229860         745S
USC00230051         636Q
USC00230127         687R
USC00230143         626S
USC00230163         684Q
USC00230164         684S
USC00230204         657S
USC00230224         668R
USC00230304         680Q
USC00230360         679Q
USC00230368         670Q
USC00230608         619S
USC00230657         686R
USC00230789         672S
USC00230817         657S
USC00230856         634R
USC00230980         630S
USC00231037         630S
USC00231087         657R
USC00231101         673R
USC00231145         663S
USC00231189         650S
USC00231212         687R
USC00231275         622S
USC00231340         650S
USC00231356         690R
USC00231364         694S
USC00231383         668R
USC00231540         687R
USC00231580         646S
USC00231600         643Q
USC00231640         641R
USC00231674         687R
USC00231711         662S
USC00231748         658Q
USC00231801         659R
USC00231822         617S
USC00232240         686R
USC00232289         695S
USC00232302         680S
USC00232503         662S
USC00232511         672R
USC00232568         644R
USC00232591         669S
USC00232619         698Q
USC00232809         659S
USC00232850         664R
USC00232981         662Q
USC00233038         670S
USC00233043         653S
USC00233079         643S
USC00233094         684R
USC00233102         624R
USC00233162         676Q
USC00233369         614R
USC00233416         616Q
USC00233451         681R
USC00233483         664R
USC00233568         624S
USC00233601         623S
USC00233838         633R
USC00234019         668R
USC00234154         648R
USC00234226         676S
USC00234271         658S
USC00234382         649Q
USC00234417         704S
USC00234544         613S
USC00234694         666S
USC00234705         681S
USC00234825         666S
USC00234850         648S
USC00234904         653S
USC00234919         663S
USC00234982         624Q
USC00235027         665S
USC00235050         631R
USC00235207         689R
USC00235227         661S
USC00235253         683S
USC00235307         660C
USC00235340         624S
USC00235492         616R
USC00235541         648R
USC00235671         640S
USC00235704         667S
USC00235708         655Q
USC00235834         653S
USC00235862         674S
USC00235950         684Q
USC00235976         676S
USC00235987         676S
USC00236012         644S
USC00236045         687S
USC00236302         653R
USC00236357         628R
USC00236402         681S
USC00236460         679S
USC00236641         668S
USC00236745         648R
USC00236777         671R
USC00236791         689S
USC00236804         685S
USC00236826         646R
USC00236866         633R
USC00237116         647Q
USC00237263         660S
USC00237300         652R
USC00237309         686Q
USC00237397         652S
USC00237398         659S
USC00237452         663R
USC00237475         660R
USC00237506         686S
USC00237514         645S
USC00237578         641S
USC00237632         646S
USC00237645         672R
USC00237656         695Q
USC00237720         626R
USC00237772         695R
USC00237862         636R
USC00237963         612S
USC00238043         670R
USC00238051         645S
USC00238082         662S
USC00238184         667R
USC00238223         652S
USC00238444         632R
USC00238466         665R
USC00238515         684S
USC00238523         613R
USC00238571         704R
USC00238577         633R
USC00238583         673Q
USC00238603         655S
USC00238620         692S
USC00238664         680Q
USC00238700         705R
USC00238712         658R
USC00238725         648R
USC00238754         670R
USC00238777         659S
USC00238805         652R
USC00238880         680S
USC00238995         674R
USC00239032         648R
USC00239178         677Q
USC00240075         591Q
USC00240088         590R
USC00240110         546S
USC00240199         565S
USC00240364         589R
USC00240375         526S
USC00240392         547R
USC00240412         562Q
USC00240432         600R
USC00240466         598R
USC00240554         538Q
USC00240743         609S
USC00240755         554S
USC00240770         582R
USC00240775         526R
USC00240780         596S
USC00240801         610R
USC00240802         638S
USC00240819         634R
USC00240877         559R
USC00240923         559R
USC00241008         568C
USC00241044         580S
USC00241047         574S
USC00241050         530R
USC00241084         615S
USC00241088         538S
USC00241102         600R
USC00241127         611S
USC00241169         579S
USC00241262         562Q
USC00241297         602S
USC00241470         568R
USC00241500         612R
USC00241518         543S
USC00241525         591S
USC00241552         596C
USC00241557         571S
USC00241692         562S
USC00241722         571S
USC00241730         562Q
USC00241737         577S
USC00241758         578S
USC00241875         586C
USC00241905         581S
USC00241938         616S
USC00241974         560R
USC00241984         578S
USC00241995         484S
USC00242104         545S
USC00242122         571C
USC00242221         588R
USC00242275         560R
USC00242301         522R
USC00242347         578S
USC00242409         575S
USC00242421         552S
USC00242550         565Q
USC00242629         515R
USC00242689         567S
USC00242738         555Q
USC00242793         578S
USC00242827         582S
USC00242857         562S
USC00243013         615S
USC00243089         554R
USC00243098         607S
USC00243110         582S
USC00243113         595S
USC00243139         557R
USC00243176         596S
USC00243378         590R
USC00243437         496Q
USC00243445         602R
USC00243489         534S
USC00243530         573S
USC00243557         567R
USC00243570         593R
USC00243581         587S
USC00243617         563S
USC00243727         585S
USC00243749         593Q
USC00243753         572R
USC00243885         591R
USC00243915         637S
USC00243929         596S
USC00243934         575Q
USC00243939         574R
USC00243984         545R
USC00244007         595R
USC00244038         496S
USC00244084         562S
USC00244180         556R
USC00244193         577Q
USC00244241         604S
USC00244297         587R
USC00244328         544S
USC00244345         611S
USC00244358         605S
USC00244364         601S
USC00244368         580R
USC00244386         594S
USC00244447         503R
USC00244506         599S
USC00244512         559S
USC00244522         581R
USC00244530         592R
USC00244545         552S
USC00244558         553S
USC00244560         559Q
USC00244820         495R
USC00244839         616R
USC00244896         555Q
USC00244954         521S
USC00245000         569R
USC00245011         583R
USC00245015         601S
USC00245020         545S
USC00245030         531S
USC00245040         556R
USC00245043         522S
USC00245080         573S
USC00245123         573Q
USC00245153         600C
USC00245285         527R
USC00245334         581R
USC00245338         567S
USC00245340         588S
USC00245387         576S
USC00245572         546S
USC00245596         615S
USC00245603         540S
USC00245668         575S
USC00245712         547R
USC00245735         571S
USC00245740         579Q
USC00245754         608S
USC00245761         564C
USC00245870         617S
USC00245872         598R
USC00245961         530S
USC00245983         584R
USC00246007         564Q
USC00246008         572R
USC00246157         611S
USC00246190         596S
USC00246218         534S
USC00246236         531S
USC00246238         517S
USC00246304         543S
USC00246370         561Q
USC00246472         560S
USC00246580         539Q
USC00246586         556R
USC00246601         575S
USC00246615         541R
USC00246618         551Q
USC00246635         565S
USC00246640         577S
USC00246647         590R
USC00246655         540R
USC00246672         546R
USC00246685         563S
USC00246691         603S
USC00246862         605S
USC00246893         534S
USC00246902         573C
USC00246918         551R
USC00246927         539R
USC00247034         571S
USC00247136         569S
USC00247159         555R
USC00247204         572Q
USC00247214         632S
USC00247220         607Q
USC00247228         590R
USC00247234         615R
USC00247247         573Q
USC00247248         578Q
USC00247250         558R
USC00247261         610Q
USC00247263         579S
USC00247265         566S
USC00247286         597S
USC00247292         529R
USC00247318         594R
USC00247342         568Q
USC00247382         587S
USC00247425         548R
USC00247448         563S
USC00247500         577R
USC00247540         560R
USC00247560         584S
USC00247620         576R
USC00247740         566S
USC00247864         575S
USC00247894         612S
USC00247964         568S
USC00247967         557Q
USC00247978         494Q
USC00247996         549R
USC00248021         590S
USC00248087         550R
USC00248093         551R
USC00248165         580S
USC00248169         553S
USC00248211         612S
USC00248233         592R
USC00248324         586S
USC00248363         599R
USC00248380         577S
USC00248390         598R
USC00248395         584R
USC00248415         555R
USC00248430         587S
USC00248498         587R
USC00248501         568S
USC00248569         569R
USC00248597         568C
USC00248777         514R
USC00248783         575R
USC00248809         538S
USC00248857         490R
USC00248858         525Q
USC00248902         536R
USC00248930         555R
USC00248957         564S
USC00249023         535C
USC00249033         572S
USC00249067         516S
USC00249082         538R
USC00249103         584R
USC00249175         617R
USC00249187         547Q
USC00249240         612S
USC00249900         548R
USC00250030         632S
USC00250050         612S
USC00250070         602R
USC00250130         623R
USC00250138         624Q
USC00250245         616C
USC00250355         615R
USC00250365         620S
USC00250375         636S
USC00250420         595S
USC00250435         642C
USC00250445         618S
USC00250525         610R
USC00250622         630R
USC00250640         663C
USC00250760         668S
USC00250865         646S
USC00250930         609R
USC00251130         617R
USC00251145         652S
USC00251149         641Q
USC00251189         637Q
USC00251200         604S
USC00251213         619R
USC00251345         598R
USC00251361         611Q
USC00251365         591C
USC00251415         650R
USC00251450         625S
USC00251560         637S
USC00251578         625Q
USC00251590         598S
USC00251602         634Q
USC00251660         598R
USC00251684         625S
USC00251825         610C
USC00251835         632R
USC00251973         627R
USC00251990         601S
USC00252000         638R
USC00252020         636S
USC00252037         591R
USC00252065         654S
USC00252100         641R
USC00252145         607S
USC00252205         600S
USC00252595         594R
USC00252647         593R
USC00252680         649S
USC00252741         645R
USC00252770         607R
USC00252790         623Q
USC00252805         616S
USC00252820         639S
USC00252840         622S
USC00252980         593Q
USC00253015         631Q
USC00253037         644R
USC00253050         615S
USC00253065         622Q
USC00253165         578R
USC00253175         633C
USC00253185         618C
USC00253355         597S
USC00253365         630S
USC00253425         613S
USC00253467         610Q
USC00253515         656R
USC00253595         644R
USC00253605         627S
USC00253615         581S
USC00253617         586Q
USC00253618         613Q
USC00253630         591S
USC00253652         598Q
USC00253660         622S
USC00253710         608R
USC00253715         623R
USC00253735         639S
USC00253755         602C
USC00253810         630R
USC00253910         622S
USC00254035         591R
USC00254100         596R
USC00254101         607Q
USC00254110         635S
USC00254335         618S
USC00254432         614R
USC00254440         606S
USC00254455         621S
USC00254755         642Q
USC00254900         635S
USC00254903         629R
USC00254985         620S
USC00255040         610R
USC00255080         599S
USC00255090         638S
USC00255250         618R
USC00255362         616S
USC00255388         654S
USC00255470         614R
USC00255565         630S
USC00255590         626R
USC00255655         628Q
USC00255700         631R
USC00255702         613R
USC00255810         625S
USC00255868         616R
USC00255925         586C
USC00255960         628R
USC00255997         596R
USC00256018         592R
USC00256040         621S
USC00256075         618S
USC00256135         599C
USC00256167         620S
USC00256200         641S
USC00256290         597C
USC00256375         608S
USC00256385         632S
USC00256395         598S
USC00256439         633R
USC00256454         644R
USC00256570         640S
USC00256765         615Q
USC00256970         622R
USC00257002         631R
USC00257040         606S
USC00257055         615Q
USC00257070         637S
USC00257110         645S
USC00257318         612R
USC00257401         635Q
USC00257415         601R
USC00257515         634S
USC00257667         634Q
USC00257715         620C
USC00257830         627R
USC00258088         610Q
USC00258090         604R
USC00258110         618R
USC00258117         600Q
USC00258133         625R
USC00258320         647C
USC00258328         634R
USC00258360         601R
USC00258395         635C
USC00258410         634Q
USC00258455         616Q
USC00258465         634S
USC00258480         595S
USC00258628         658S
USC00258650         618R
USC00258751         617R
USC00258755         626R
USC00258795         608R
USC00258875         619R
USC00258905         615R
USC00258915         612S
USC00258920         632S
USC00258935         602S
USC00259020         645Q
USC00259045         593R
USC00259090         618S
USC00259193         609Q
USC00259200         596S
USC00259510         638S
USC00259513         630Q
USC00260125         830Q
USC00260150         807S
USC00260438         577R
USC00260507         603R
USC00260718         754R
USC00260795         655R
USC00260800         629S
USC00260955         666S
USC00261071         768R
USC00261327         821R
USC00261358         707R
USC00261371         857R
USC00261415         569R
USC00261485         661S
USC00261590         684Q
USC00261660         585Q
USC00261684         629Q
USC00261740         605R
USC00261905         622R
USC00262119         543R
USC00262189         602R
USC00262229         644S
USC00262243         787S
USC00262296         627R
USC00262390         650R
USC00262394         630R
USC00262431         693R
USC00262497         828R
USC00262557         746R
USC00262570         613R
USC00262656         610R
USC00262708         592S
USC00262780         682S
USC00263090         674R
USC00263114         586R
USC00263205         586S
USC00263245         674R
USC00263285         645R
USC00263316         775Q
USC00263340         589R
USC00263512         701R
USC00263671         737R
USC00263957         660S
USC00263964         604Q
USC00264016         586R
USC00264039         578R
USC00264095         586R
USC00264236         653R
USC00264253         634Q
USC00264341         625R
USC00264349         694R
USC00264384         607R
USC00264391         586Q
USC00264394         596R
USC00264439         798R
USC00264480         871R
USC00264491         609Q
USC00264527         642S
USC00264698         673S
USC00264745         635S
USC00264935         629S
USC00264950         627S
USC00265087         832Q
USC00265092         607R
USC00265132         672R
USC00265168         698S
USC00265191         687S
USC00265352         637S
USC00265371         607Q
USC00265392         597R
USC00265400         590R
USC00265705         817R
USC00265722         598R
USC00265818         654S
USC00265846         849R
USC00265880         754R
USC00265890         787S
USC00266005         660S
USC00266055         697R
USC00266130         680R
USC00266242         630R
USC00266252         653R
USC00266514         688Q
USC00266691         740S
USC00266746         607S
USC00266791         652R
USC00267123         599S
USC00267175         582R
USC00267188         628Q
USC00267192         685S
USC00267369         745S
USC00267450         633R
USC00267463         714S
USC00267612         666S
USC00267618         678R
USC00267620         649S
USC00267640         604R
USC00267690         629R
USC00267697         683R
USC00267750         645R
USC00267806         587R
USC00267820         646R
USC00267908         659R
USC00267953         636R
USC00268186         670Q
USC00268202         652R
USC00268346         581R
USC00268443         668R
USC00268588         810S
USC00268761         603S
USC00268822         699S
USC00268838         682R
USC00268988         596R
USC00269072         550R
USC00269168         651R
USC00269229         690S
USC00270681         530S
USC00270690         538C
USC00270706         545R
USC00271647         517S
USC00271950         555R
USC00271968         463Q
USC00272174         592S
USC00272302         588Q
USC00272800         578S
USC00272999         494S
USC00273055         564Q
USC00273182         573R
USC00273530         549R
USC00273626         588C
USC00273658         570Q
USC00273850         566S
USC00274234         589R
USC00274399         582S
USC00274480         569S
USC00274556         536S
USC00275013         559Q
USC00275211         586R
USC00275412         579R
USC00275500         552R
USC00275629         545S
USC00275702         588R
USC00275712         590S
USC00275780         559Q
USC00275868         552R
USC00275995         549S
USC00276234         531R
USC00276818         507S
USC00276945         553R
USC00277833         562R
USC00278539         566Q
USC00278612         549R
USC00278614         556R
USC00278858         561Q
USC00278972         557R
USC00279278         585Q
USC00279966         515R
USC00280690         641R
USC00280734         622S
USC00280907         620R
USC00280990         621R
USC00281335         637S
USC00281351         638C
USC00281582         610S
USC00281592         628Q
USC00282023         641S
USC00282768         621R
USC00282805         657R
USC00283029         624S
USC00283181         635R
USC00283291         638R
USC00283662         645R
USC00283704         637Q
USC00283935         563R
USC00283951         635C
USC00284229         648S
USC00284635         647R
USC00284887         625R
USC00284987         623R
USC00285003         584R
USC00285728         671R
USC00286055         633S
USC00286177         612R
